name,N,CSF1PO allele count,D13S317 allele count,D16S539 allele count,D18S51 allele count,D19S433 allele count,D21S11 allele count,D2S1338 allele count,D3S1358 allele count,D5S818 allele count,D7S820 allele count,D8S1179 allele count,FGA allele count,TH01 allele count,TPOX allele count,vWA allele count,CSF1PO sum allele freq,D13S317 sum allele freq,D16S539 sum allele freq,D18S51 sum allele freq,D19S433 sum allele freq,D21S11 sum allele freq,D2S1338 sum allele freq,D3S1358 sum allele freq,D5S818 sum allele freq,D7S820 sum allele freq,D8S1179 sum allele freq,FGA sum allele freq,TH01 sum allele freq,TPOX sum allele freq,vWA sum allele freq
BC11352+WT52457,2p,3,2,2,4,3,4,4,4,2,2,3,3,3,1,3,0.7507,0.4418,0.3324,0.5458,0.7728,0.716,0.5679,0.8282,0.4114,0.4155,0.529,0.41,0.6995,0.5249,0.6869
BC11352+C15C,2p,3,3,3,4,3,4,2,2,3,4,2,2,3,1,2,0.7507,0.5194,0.6468,0.5098,0.3822,0.6662,0.3421,0.3171,0.7992,0.7271,0.4958,0.2132,0.676,0.5249,0.4861
GC03394+GT38097,2p,2,2,4,2,2,3,4,3,2,3,3,3,3,1,3,0.5803,0.4418,0.8988,0.3089,0.518,0.5567,0.482,0.6344,0.7438,0.5083,0.5997,0.4544,0.7743,0.5249,0.6869
GC03394+MT97145,2p,2,3,3,3,2,3,4,3,4,3,2,2,3,2,2,0.5803,0.6371,0.7922,0.3491,0.518,0.3808,0.518,0.6344,0.9281,0.6205,0.3338,0.313,0.7743,0.6523,0.4861
GC03394+MT97178,2p,3,3,3,2,3,2,4,3,3,3,3,3,3,2,2,0.662,0.6413,0.7922,0.3089,0.554,0.3545,0.4876,0.6621,0.8865,0.5319,0.5027,0.356,0.7743,0.777,0.4861
GC03394+MT97185,2p,3,3,2,4,3,4,2,4,2,2,3,2,3,2,4,0.8892,0.7147,0.4778,0.4502,0.7728,0.3822,0.3421,0.741,0.7438,0.3643,0.4363,0.3837,0.7743,0.777,0.7908
GC03394+TT50720,2p,3,3,3,4,2,3,4,3,2,3,2,3,3,1,3,0.5858,0.7147,0.7922,0.4959,0.518,0.3836,0.5624,0.5305,0.7438,0.5319,0.4972,0.5361,0.7743,0.5249,0.5914
GC03394+UT58320,2p,3,2,2,2,3,4,3,2,3,3,3,3,2,2,4,0.8892,0.3726,0.4778,0.3089,0.7728,0.583,0.4474,0.4239,0.8865,0.5319,0.5997,0.4626,0.4294,0.777,0.7797
GC03394+WT52472,2p,3,2,3,4,3,3,4,3,2,4,2,3,4,1,3,0.8892,0.3684,0.7922,0.5665,0.5886,0.4528,0.4848,0.5305,0.7438,0.7881,0.4972,0.5361,0.8934,0.5249,0.5914
GC03394+C28C,2p,2,2,3,3,3,3,2,4,3,3,3,2,3,1,2,0.5803,0.446,0.7922,0.4432,0.5748,0.5567,0.3421,0.8726,0.7992,0.6205,0.4363,0.2576,0.525,0.5249,0.4861
GC03394+C79C,2p,3,2,3,3,3,3,3,3,3,3,3,2,2,1,3,0.8892,0.5942,0.7922,0.3865,0.5748,0.5138,0.4571,0.6344,0.7854,0.6205,0.6011,0.3837,0.4294,0.5249,0.6869
GT36864+GT38094,2p,3,2,3,4,2,3,4,3,3,3,2,4,4,4,3,0.8892,0.3684,0.7922,0.4363,0.6163,0.2146,0.41,0.6177,0.7854,0.4709,0.4335,0.3892,0.8699,0.9543,0.4958
GT36864+UA16924,2p,2,2,2,4,3,3,4,3,2,3,2,4,3,3,4,0.5803,0.5942,0.6288,0.4682,0.6869,0.4708,0.5139,0.6621,0.4294,0.4709,0.4958,0.586,0.6579,0.9044,0.7908
GT36864+C22C,2p,3,2,3,4,2,3,4,3,2,3,1,4,4,3,3,0.8892,0.5942,0.7922,0.4682,0.6163,0.4708,0.5651,0.6621,0.4294,0.5595,0.3296,0.3892,0.6662,0.9044,0.4958
GT36864+C74C,2p,3,2,3,3,2,2,4,2,3,4,3,4,3,2,3,0.8892,0.4418,0.6551,0.2978,0.6163,0.1883,0.4945,0.5111,0.7854,0.5055,0.572,0.586,0.7743,0.3795,0.5069
GT36866+GT38098,2p,2,2,2,3,3,4,4,2,3,2,3,2,3,2,3,0.5291,0.5942,0.4778,0.4322,0.4376,0.673,0.518,0.4487,0.8865,0.4155,0.3726,0.3837,0.7743,0.777,0.59
GT36866+GT38108,2p,3,2,3,3,3,3,4,3,2,2,2,2,3,2,3,0.8892,0.5942,0.7922,0.4405,0.6869,0.3905,0.3698,0.5553,0.4987,0.4002,0.4321,0.2576,0.7743,0.777,0.6869
GT36866+MT94818,2p,2,4,2,3,2,4,3,2,3,2,3,2,2,2,3,0.5291,0.7923,0.4778,0.3117,0.4321,0.673,0.2604,0.4487,0.8865,0.4238,0.374,0.3837,0.5804,0.6523,0.6869
GT36866+MT97141,2p,3,3,3,3,4,3,3,3,4,3,2,3,2,2,4,0.8892,0.7105,0.7922,0.3713,0.8434,0.4708,0.3324,0.5997,0.9281,0.4584,0.2701,0.3865,0.5804,0.5748,0.6828
GT36866+TT51669,2p,2,3,2,2,3,4,3,3,3,3,3,3,3,2,3,0.669,0.6718,0.4778,0.2937,0.5886,0.673,0.3324,0.7216,0.8865,0.6052,0.3463,0.3393,0.7743,0.777,0.5775
GT36866+TT51680,2p,2,2,3,4,3,2,4,3,3,2,3,3,3,1,3,0.669,0.5942,0.7922,0.446,0.6869,0.1883,0.2978,0.7216,0.8865,0.4155,0.4363,0.41,0.7743,0.5249,0.6869
GT36866+WT52470,2p,3,3,4,4,4,4,4,2,2,3,2,3,2,2,2,0.6108,0.7147,0.8102,0.5181,0.5955,0.673,0.4501,0.4487,0.4987,0.6205,0.4321,0.2825,0.5804,0.6523,0.4847
GT36866+C68C,2p,3,3,3,3,3,3,4,3,3,2,3,3,4,2,3,0.6108,0.7147,0.5844,0.4322,0.5886,0.3905,0.4502,0.7216,0.5056,0.4238,0.3726,0.3519,0.7951,0.6523,0.6869
GT36875+UT57301,2p,2,3,3,3,2,1,4,3,3,3,3,4,3,1,4,0.669,0.7147,0.7922,0.4432,0.4321,0.1593,0.3533,0.6177,0.8865,0.6052,0.6634,0.4889,0.676,0.5249,0.7908
GT36875+UT58337,2p,2,3,3,3,3,3,4,4,3,2,3,3,2,2,3,0.669,0.7105,0.7922,0.4196,0.4473,0.644,0.3533,0.7063,0.8865,0.4612,0.6011,0.4363,0.4405,0.777,0.5069
GT36875+WT52472,2p,1,3,2,3,3,3,4,2,2,3,2,4,3,1,4,0.3089,0.6371,0.4778,0.3961,0.5886,0.5401,0.3602,0.3448,0.5305,0.6288,0.4972,0.615,0.5596,0.5249,0.6939
GT36875+C17C,2p,3,2,3,4,4,2,4,2,3,4,2,3,3,2,3,0.8892,0.5942,0.5346,0.59,0.7229,0.4418,0.5084,0.3448,0.8865,0.7645,0.4972,0.4626,0.676,0.777,0.5886
GT36875+C18C,2p,3,2,2,4,3,3,2,3,3,3,2,4,3,2,3,0.8892,0.5942,0.4778,0.4972,0.4889,0.4473,0.2175,0.6177,0.8865,0.6205,0.4972,0.5152,0.676,0.777,0.5069
GT36875+C59C,2p,1,2,3,4,2,3,4,3,3,3,3,4,3,1,3,0.3089,0.5942,0.7922,0.4058,0.4321,0.5318,0.4945,0.6177,0.8865,0.6205,0.6634,0.5152,0.676,0.5249,0.5886
GT36875+C84C,2p,2,2,3,3,3,2,4,4,3,3,4,3,3,1,2,0.5291,0.5942,0.7922,0.4196,0.5886,0.4418,0.3754,0.7063,0.536,0.6205,0.6329,0.4363,0.6344,0.5249,0.3047
GT36877+GT38087,2p,3,3,4,4,3,3,4,3,3,2,4,4,3,3,3,0.8892,0.7147,0.7922,0.3879,0.6315,0.644,0.3795,0.6344,0.8865,0.4238,0.6773,0.3671,0.676,0.8269,0.4931
GT36877+MT94842,2p,1,2,3,4,3,4,4,3,3,2,4,4,3,2,3,0.3089,0.446,0.7354,0.3477,0.6315,0.6662,0.3989,0.6621,0.8865,0.3269,0.6343,0.3671,0.3394,0.777,0.4931
GT36877+MT97177,2p,3,2,2,3,2,3,4,4,3,2,3,4,4,3,4,0.6108,0.5942,0.421,0.338,0.27,0.644,0.331,0.7687,0.8865,0.3726,0.4377,0.507,0.6441,0.9044,0.6828
GT36877+MT97188,2p,2,2,3,4,3,2,4,3,2,2,3,4,4,2,2,0.669,0.446,0.7354,0.482,0.3268,0.4418,0.3989,0.6621,0.4987,0.4238,0.6011,0.5333,0.6441,0.777,0.3892
GT36877+MT97199,2p,1,2,3,3,3,2,3,3,2,3,3,4,3,3,3,0.3089,0.5942,0.7354,0.3948,0.6315,0.4418,0.2285,0.6344,0.4987,0.6288,0.4377,0.4072,0.676,0.9044,0.59
GT36877+WT51381,2p,2,2,2,3,4,2,3,3,4,2,4,4,2,3,3,0.669,0.446,0.421,0.338,0.6883,0.4418,0.2105,0.6344,0.8934,0.4238,0.4072,0.4889,0.3311,0.9044,0.5914
GT36877+WT52490,2p,3,2,2,4,2,2,2,3,4,3,3,3,3,3,3,0.8892,0.446,0.421,0.3782,0.27,0.4418,0.108,0.6344,0.9419,0.5166,0.4377,0.3546,0.676,0.9044,0.482
GT36877+C01C,2p,2,2,3,4,3,3,4,3,3,3,3,4,3,2,3,0.669,0.4418,0.7354,0.4972,0.2935,0.4709,0.3435,0.6621,0.8865,0.4003,0.6011,0.3809,0.525,0.777,0.59
GT36877+C29C,2p,2,2,2,4,4,3,4,3,2,3,4,4,3,2,3,0.669,0.3726,0.421,0.4765,0.3766,0.644,0.4501,0.5305,0.4987,0.5678,0.7673,0.3519,0.4502,0.777,0.5914
GT36877+C69C,2p,2,2,4,3,4,3,4,3,2,2,4,4,3,3,4,0.669,0.5942,0.6107,0.3948,0.45,0.5318,0.3989,0.5305,0.4987,0.4238,0.615,0.5333,0.676,0.8269,0.6842
GT36878+GT38098,2p,3,3,2,2,4,3,3,3,3,3,4,4,2,2,3,0.8892,0.7105,0.3324,0.2618,0.4874,0.5747,0.3615,0.6621,0.7854,0.5831,0.6759,0.586,0.5388,0.777,0.41
GT36878+MT94850,2p,3,2,3,4,3,4,3,3,3,3,4,2,3,3,4,0.8892,0.4418,0.6468,0.5429,0.7728,0.6301,0.3643,0.5305,0.453,0.5319,0.5222,0.2023,0.7743,0.9044,0.7908
GT36878+MT97158,2p,3,3,4,3,3,4,3,3,3,2,3,4,2,2,3,0.662,0.5194,0.6024,0.4086,0.7728,0.673,0.3615,0.6344,0.7854,0.3269,0.5734,0.5153,0.5804,0.777,0.41
GT36878+TT50698,2p,2,3,3,3,3,3,4,2,2,3,3,4,3,2,3,0.5803,0.5623,0.6468,0.3961,0.7728,0.4708,0.4169,0.4239,0.3976,0.5831,0.5734,0.4155,0.5596,0.777,0.5886
GT36878+UA16918,2p,3,3,3,4,2,3,3,3,3,3,4,4,3,2,3,0.662,0.4889,0.439,0.579,0.4113,0.4445,0.3795,0.6621,0.7854,0.5831,0.6759,0.5416,0.7743,0.777,0.5886
GT36878+ZT81382,2p,4,4,4,3,4,3,4,3,4,3,3,4,3,3,3,0.9709,0.7534,0.5526,0.3961,0.7963,0.5747,0.5305,0.6621,0.8408,0.4709,0.5734,0.5306,0.676,0.8269,0.5069
GT36878+C11C,2p,3,3,3,2,3,2,3,3,3,4,3,3,3,2,2,0.8892,0.5194,0.4958,0.2618,0.4348,0.3725,0.3615,0.6344,0.7854,0.7271,0.5083,0.3366,0.7743,0.777,0.3047
GT36878+C83C,2p,3,3,3,3,4,4,4,2,3,4,4,4,3,2,3,0.8892,0.7105,0.6468,0.302,0.8296,0.5428,0.446,0.4239,0.453,0.6759,0.7396,0.4599,0.6579,0.777,0.5886
GT36884+MT94859,2p,3,2,3,4,4,3,4,3,3,4,1,4,4,2,2,0.6108,0.4031,0.439,0.5665,0.5955,0.644,0.5264,0.5553,0.8865,0.7728,0.0762,0.4363,0.8934,0.777,0.4861
GT36884+ZT81387,2p,2,3,3,4,4,3,3,3,2,3,3,4,2,4,4,0.5291,0.5194,0.4958,0.5291,0.8434,0.5318,0.4211,0.4958,0.7438,0.6052,0.5097,0.6704,0.5388,0.9058,0.7908
GT36884+C80C,2p,3,3,3,3,4,2,3,3,3,3,3,2,2,3,3,0.8892,0.7147,0.4958,0.4432,0.8434,0.4418,0.338,0.6177,0.8865,0.6052,0.5734,0.2867,0.5388,0.9044,0.5914
GT36885+MT97187,2p,3,2,3,4,3,3,2,3,3,3,4,3,3,2,4,0.8892,0.5942,0.7922,0.59,0.4819,0.644,0.2258,0.6344,0.8865,0.5166,0.5236,0.4336,0.7743,0.777,0.7908
GT36885+WT51378,2p,2,3,3,4,1,4,3,2,2,2,2,3,3,2,3,0.5291,0.7147,0.5844,0.5568,0.2548,0.716,0.2632,0.4239,0.7438,0.3116,0.4058,0.381,0.5485,0.777,0.5069
GT36885+ZT81381,2p,2,4,3,4,2,3,3,3,3,3,2,4,3,3,3,0.5291,0.7576,0.5346,0.3947,0.6163,0.644,0.4059,0.6344,0.8865,0.5166,0.4058,0.586,0.525,0.9044,0.5069
GT36885+C32C,2p,2,3,3,2,2,4,3,2,2,3,3,3,3,2,3,0.5291,0.7105,0.7922,0.2728,0.6163,0.7423,0.3283,0.4239,0.7438,0.5166,0.5734,0.4336,0.525,0.777,0.59
GT36885+C56C,2p,2,3,3,3,2,2,2,3,3,3,2,4,2,2,3,0.5291,0.7105,0.7922,0.313,0.6163,0.3615,0.2203,0.5997,0.8865,0.5166,0.4058,0.5679,0.4294,0.777,0.5069
GT36885+C74C,2p,3,3,3,3,2,3,3,2,2,3,3,4,3,2,3,0.8892,0.7105,0.5041,0.3961,0.6163,0.4515,0.3768,0.4239,0.7438,0.3462,0.572,0.586,0.7743,0.777,0.5069
GT36886+Y8,2p,2,3,3,3,4,3,3,3,3,3,3,4,4,3,3,0.5291,0.4847,0.4778,0.4322,0.8088,0.583,0.3767,0.5277,0.7992,0.6288,0.5997,0.5624,0.7951,0.8186,0.4931
GT36886+C24C,2p,2,3,3,4,3,4,3,3,2,2,2,4,3,2,3,0.5291,0.446,0.3975,0.4959,0.7728,0.6121,0.3767,0.6621,0.7438,0.4612,0.4958,0.5624,0.676,0.777,0.41
GT36886+C35C,2p,4,3,4,3,3,4,4,2,1,3,3,4,2,2,4,0.9031,0.6371,0.5526,0.4557,0.4168,0.716,0.3712,0.3795,0.3878,0.6288,0.6634,0.3962,0.4405,0.777,0.6939
GT38065+MT94803,2p,4,3,3,4,2,4,3,3,2,3,3,3,2,2,3,0.9709,0.6371,0.6551,0.5291,0.6163,0.5498,0.4086,0.5553,0.4987,0.5595,0.5997,0.4363,0.5388,0.6523,0.5789
GT38065+MT97180,2p,2,3,4,4,1,3,4,4,3,2,2,3,2,1,4,0.5803,0.446,0.7617,0.59,0.3615,0.583,0.4945,0.7687,0.8865,0.3643,0.4972,0.4363,0.5388,0.5249,0.5859
GT38065+MT97184,2p,3,3,3,3,3,4,4,3,3,1,2,2,3,2,3,0.8892,0.446,0.4473,0.4405,0.6869,0.7423,0.4169,0.6177,0.8865,0.1593,0.4972,0.3574,0.6344,0.777,0.5789
GT38065+C35C,2p,3,3,4,2,3,4,3,2,3,3,2,3,3,2,3,0.5942,0.6371,0.5221,0.3172,0.6218,0.5318,0.2535,0.3448,0.8865,0.5831,0.4972,0.3699,0.6344,0.777,0.5775
GT38066+TT51676,2p,2,2,3,3,2,2,4,2,3,3,3,4,3,3,3,0.4418,0.3892,0.6856,0.4405,0.4321,0.3116,0.3601,0.3892,0.5721,0.6205,0.572,0.5443,0.5485,0.9044,0.6869
GT38066+TT51682,2p,3,2,3,3,2,3,4,4,3,4,2,2,3,2,3,0.7507,0.1676,0.6856,0.428,0.4321,0.5747,0.3989,0.5124,0.7854,0.7881,0.4321,0.313,0.6995,0.6523,0.59
GT38066+UT58318,2p,3,3,3,3,3,2,4,3,2,3,2,3,3,3,3,0.662,0.7147,0.6856,0.4405,0.6869,0.3808,0.482,0.6621,0.4294,0.6205,0.4972,0.518,0.6995,0.9044,0.6869
GT38067+JM28315,2p,3,3,4,3,2,3,2,4,2,4,3,3,2,3,3,0.662,0.6718,0.3143,0.338,0.6163,0.644,0.1358,0.8726,0.7438,0.7881,0.5097,0.4182,0.5388,0.6164,0.59
GT38067+MT94827,2p,3,3,3,2,3,2,4,3,4,2,2,4,3,2,4,0.7507,0.7105,0.3587,0.248,0.7728,0.4847,0.4073,0.5997,0.9419,0.4238,0.4058,0.4196,0.6579,0.777,0.4169
GT38067+MT94858,2p,3,2,4,2,2,4,3,3,2,2,3,3,3,2,3,0.662,0.5942,0.4653,0.248,0.6163,0.6121,0.2092,0.6621,0.7438,0.4238,0.572,0.3642,0.6344,0.777,0.3989
GT38067+MT94888,2p,4,4,4,3,4,4,4,3,2,4,3,4,2,2,3,0.9709,0.7923,0.5221,0.3297,0.7091,0.5166,0.4779,0.6621,0.7438,0.6565,0.572,0.6704,0.5388,0.777,0.59
GT38067+MT97150,2p,2,3,4,3,3,3,4,4,3,4,2,3,2,2,4,0.4418,0.7105,0.5221,0.3255,0.6869,0.5567,0.3242,0.5124,0.7992,0.7271,0.1801,0.4182,0.5388,0.5748,0.6011
GT38067+MT97159,2p,3,3,3,3,3,3,4,4,3,3,2,4,3,1,2,0.7507,0.7105,0.3587,0.2882,0.6523,0.4889,0.2438,0.4972,0.7854,0.5831,0.4058,0.5969,0.7743,0.5249,0.3061
GT38067+MT97184,2p,4,3,4,3,3,3,4,4,3,3,3,3,3,2,4,0.9709,0.6718,0.4653,0.3477,0.6869,0.644,0.3297,0.7687,0.8865,0.5831,0.5734,0.4917,0.6344,0.777,0.7922
GT38067+UA16896,2p,3,4,4,3,3,3,4,4,2,2,2,3,3,2,4,0.7507,0.831,0.6731,0.2009,0.6869,0.5567,0.4073,0.8726,0.7438,0.4238,0.4058,0.518,0.7743,0.6523,0.7922
GT38067+UT57293,2p,3,3,4,3,3,2,4,2,3,3,3,4,3,3,3,0.7507,0.6371,0.6731,0.3255,0.7728,0.4847,0.3588,0.3892,0.7854,0.5831,0.3463,0.5415,0.6579,0.9044,0.59
GT38067+UT58317,2p,4,3,4,3,3,2,4,2,3,4,2,3,3,1,3,0.9709,0.6413,0.4653,0.3145,0.7728,0.4847,0.3713,0.3892,0.8865,0.7728,0.2438,0.4182,0.6344,0.5249,0.41
GT38067+WT51342,2p,3,3,4,3,3,3,4,2,3,3,3,3,3,3,3,0.662,0.6371,0.5221,0.3352,0.6523,0.5567,0.2909,0.3892,0.8865,0.5831,0.41,0.4182,0.6579,0.9044,0.5083
GT38069+GT38075,2p,1,3,2,3,3,2,2,4,3,4,4,3,2,2,2,0.3601,0.5623,0.4778,0.4183,0.5332,0.4418,0.1579,0.7382,0.8865,0.6024,0.7022,0.4807,0.5804,0.777,0.3892
GT38069+TT50720,2p,2,3,2,4,2,4,4,4,2,3,2,3,2,2,2,0.3656,0.5055,0.4778,0.471,0.518,0.5429,0.3782,0.5471,0.7438,0.5166,0.4335,0.4807,0.5388,0.777,0.3892
GT38069+TT51689,2p,2,3,3,3,3,3,3,3,2,4,2,2,3,2,3,0.5803,0.5055,0.5844,0.4183,0.5415,0.644,0.3435,0.5,0.7438,0.7271,0.4335,0.3283,0.7743,0.777,0.6869
GT38069+UT58305,2p,2,3,3,4,3,4,4,4,2,3,3,4,1,3,3,0.669,0.5055,0.7922,0.5693,0.7728,0.734,0.3006,0.6066,0.7438,0.5166,0.6011,0.5596,0.3449,0.8186,0.59
GT38069+C03C,2p,1,3,2,4,2,4,3,3,3,4,4,3,2,3,2,0.3601,0.5055,0.4778,0.4849,0.518,0.4931,0.3144,0.3961,0.7854,0.6024,0.7022,0.4807,0.5804,0.8186,0.3767
GT38069+C08C,2p,3,4,2,4,3,4,4,3,2,4,3,4,2,3,2,0.8892,0.5831,0.4778,0.5651,0.554,0.6301,0.3366,0.3961,0.7438,0.7728,0.5997,0.6413,0.5388,0.8186,0.3767
GT38069+C14C,2p,3,3,3,4,4,2,4,3,2,4,3,4,2,3,3,0.8892,0.5623,0.5844,0.5651,0.6108,0.4418,0.5,0.5277,0.7438,0.3435,0.5997,0.4875,0.464,0.8269,0.59
GT38070+UT58300,2p,2,3,4,4,3,2,3,3,2,3,3,3,2,2,3,0.4418,0.2797,0.849,0.5458,0.6869,0.3808,0.3352,0.5997,0.4987,0.4958,0.6634,0.3809,0.5804,0.777,0.6869
GT38070+WT52482,2p,4,4,4,3,4,2,4,3,3,3,3,2,2,2,3,0.9709,0.5318,0.849,0.428,0.5387,0.3808,0.4654,0.6621,0.8865,0.4584,0.41,0.302,0.5804,0.6523,0.59
GT38070+C03C,2p,2,3,2,3,4,4,2,4,3,2,3,3,2,3,3,0.4418,0.4279,0.4778,0.3713,0.8434,0.4321,0.2299,0.7687,0.5403,0.2908,0.4363,0.4544,0.5804,0.8186,0.5789
GT38072+MT97186,2p,3,4,1,3,3,3,3,4,2,3,2,3,3,2,2,0.8892,0.6094,0.3144,0.4405,0.7728,0.644,0.3089,0.8726,0.5305,0.4958,0.4972,0.4807,0.7743,0.777,0.1981
GT38072+PT86478,2p,2,4,1,4,3,2,3,2,4,3,2,4,3,1,1,0.5291,0.4931,0.3144,0.5084,0.6232,0.3615,0.338,0.3892,0.9419,0.3836,0.2701,0.586,0.7743,0.5249,0.1053
GT38072+WA29572,2p,3,4,2,3,2,3,4,4,3,3,2,4,3,2,3,0.6108,0.7618,0.421,0.3948,0.6163,0.644,0.4114,0.8726,0.5319,0.2673,0.4972,0.6594,0.7743,0.6523,0.482
GT38073+MT94859,2p,3,4,3,3,3,4,4,3,2,3,3,4,3,2,3,0.662,0.7881,0.4778,0.4322,0.439,0.734,0.4848,0.5997,0.4987,0.6288,0.5097,0.5333,0.6995,0.777,0.2964
GT38075+GT38081,2p,2,1,2,3,3,3,3,3,2,4,2,3,2,2,3,0.4418,0.3255,0.6288,0.3864,0.5332,0.5401,0.2632,0.7216,0.5305,0.6177,0.2687,0.4917,0.5804,0.777,0.59
GT38075+MT94893,2p,3,3,2,2,4,3,4,3,2,3,4,4,3,3,3,0.7507,0.6718,0.6288,0.2479,0.4833,0.5318,0.4585,0.5553,0.5305,0.4958,0.7659,0.5416,0.6995,0.8269,0.59
GT38075+MT97158,2p,2,2,3,4,3,3,4,3,3,3,4,4,2,2,2,0.4418,0.4031,0.5844,0.518,0.5332,0.583,0.446,0.7216,0.8865,0.4501,0.7659,0.6704,0.5804,0.777,0.3892
GT38075+MT97165,2p,2,2,1,4,3,2,4,3,2,3,4,3,3,1,3,0.669,0.5942,0.3144,0.5097,0.2285,0.4847,0.3449,0.5997,0.5305,0.4348,0.5402,0.4807,0.676,0.5249,0.5914
GT38075+UT58317,2p,3,2,3,3,3,1,3,2,2,4,3,3,4,1,3,0.8892,0.3726,0.7354,0.3712,0.5332,0.2825,0.2729,0.4487,0.5305,0.6398,0.4363,0.4363,0.8699,0.5249,0.4931
GT38075+WT51386,2p,2,1,2,3,4,3,4,3,3,3,3,2,3,3,3,0.4418,0.3255,0.6288,0.3864,0.4833,0.644,0.3449,0.5997,0.8865,0.4584,0.3449,0.3574,0.6995,0.9044,0.4931
GT38075+C12C,2p,2,3,3,4,2,2,3,3,3,3,3,3,2,1,3,0.669,0.4931,0.4473,0.4959,0.1717,0.4847,0.3144,0.7216,0.8865,0.4958,0.5983,0.3837,0.5804,0.5249,0.4931
GT38075+C13C,2p,2,2,2,4,4,1,4,2,3,3,3,4,3,2,4,0.5803,0.446,0.6288,0.4349,0.788,0.2825,0.3781,0.4487,0.8865,0.3185,0.3019,0.615,0.676,0.6523,0.7922
GT38075+C24C,2p,3,2,3,4,4,3,4,3,3,3,3,3,2,2,3,0.8892,0.4031,0.3975,0.4349,0.788,0.4099,0.5,0.5997,0.8865,0.4958,0.5983,0.5361,0.5804,0.777,0.59
GT38075+C69C,2p,2,2,3,4,3,2,4,4,3,3,4,3,2,2,4,0.669,0.5942,0.5041,0.4959,0.1952,0.3725,0.4488,0.8282,0.8865,0.4584,0.6122,0.5361,0.5804,0.5748,0.6842
GT38076+GT38078,2p,2,3,1,3,4,3,3,3,3,3,3,4,4,2,3,0.3228,0.5055,0.3144,0.2673,0.5179,0.3905,0.3228,0.59,0.8865,0.5678,0.5997,0.6413,0.6441,0.777,0.5914
GT38076+MT94815,2p,3,3,3,2,4,3,4,3,2,3,3,4,3,2,3,0.543,0.4668,0.7922,0.2576,0.7091,0.5747,0.5139,0.5305,0.7438,0.5595,0.536,0.6594,0.6995,0.777,0.5083
GT38076+TT50697,2p,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,0.6829,0.4668,0.6288,0.428,0.6523,0.1662,0.3228,0.5305,0.8865,0.4002,0.6011,0.507,0.6995,0.777,0.5083
GT38076+C56C,2p,2,3,3,3,3,2,3,4,3,3,2,3,3,2,4,0.3228,0.5055,0.7922,0.302,0.6523,0.2922,0.3228,0.8282,0.8865,0.6052,0.4335,0.4626,0.5485,0.777,0.6122
GT38076+C76C,2p,3,3,3,3,3,3,4,3,3,2,3,4,4,3,3,0.543,0.4321,0.7922,0.4086,0.6523,0.5747,0.3629,0.59,0.7992,0.4002,0.5997,0.4031,0.6441,0.9044,0.5083
GT38076+C89C,2p,3,4,2,2,4,3,4,4,2,3,2,3,4,3,3,0.543,0.831,0.6288,0.2369,0.3683,0.4515,0.5499,0.5471,0.7438,0.5595,0.4335,0.507,0.6441,0.8269,0.5083
GT38076+C96C,2p,4,4,2,1,4,3,3,2,3,3,3,2,3,3,3,0.6247,0.831,0.6288,0.1233,0.8088,0.4016,0.3934,0.3795,0.8865,0.5595,0.6011,0.3283,0.6995,0.9044,0.5914
GT38078+MT94807,2p,3,3,3,3,4,3,4,4,2,3,3,3,3,4,3,0.7507,0.5623,0.6856,0.162,0.6246,0.4598,0.5084,0.8282,0.5305,0.5678,0.6634,0.4363,0.6344,0.946,0.6869
GT38078+MT94866,2p,2,3,3,4,3,4,3,3,3,3,3,4,3,3,3,0.669,0.5055,0.7922,0.4044,0.5886,0.5858,0.4031,0.59,0.8865,0.6288,0.6634,0.5305,0.6344,0.9044,0.493
GT38078+UA16895,2p,3,3,2,4,3,4,4,4,3,3,4,3,3,3,2,0.7507,0.5623,0.4778,0.428,0.4819,0.655,0.4793,0.8282,0.5541,0.6288,0.7659,0.518,0.4086,0.9044,0.4861
GT38078+UT58295,2p,3,4,3,4,4,2,3,2,3,4,4,4,3,2,3,0.8892,0.6052,0.6856,0.3961,0.59,0.3005,0.2909,0.3171,0.5721,0.6634,0.6745,0.6413,0.525,0.777,0.5914
GT38078+ZT81381,2p,1,3,2,4,4,3,3,3,2,4,2,4,3,3,3,0.3089,0.2839,0.3712,0.2659,0.8434,0.583,0.4031,0.59,0.4987,0.7728,0.4958,0.6704,0.525,0.9044,0.6869
GT38078+C53C,2p,2,3,3,4,4,3,2,3,3,2,3,2,3,3,2,0.5291,0.5055,0.4778,0.4044,0.6121,0.4598,0.2175,0.4681,0.5859,0.4238,0.5997,0.313,0.525,0.9044,0.4861
GT38078+C88C,2p,2,4,2,4,4,4,3,4,3,3,4,4,3,2,3,0.669,0.5526,0.6288,0.4141,0.8434,0.673,0.3228,0.5719,0.5859,0.5678,0.6329,0.5443,0.4086,0.777,0.5914
GT38081+MT97124,2p,4,1,2,3,3,4,3,3,3,4,3,3,2,2,3,0.9709,0.3255,0.421,0.2825,0.6731,0.7423,0.2632,0.6177,0.5859,0.6177,0.3449,0.4917,0.5804,0.777,0.5775
GT38081+MT97186,2p,3,3,1,4,2,3,2,3,2,4,3,3,2,2,4,0.7507,0.5623,0.3144,0.5429,0.518,0.5401,0.1787,0.7216,0.5305,0.7881,0.5997,0.41,0.5804,0.777,0.6828
