name,N,CSF1PO allele count,D13S317 allele count,D16S539 allele count,D18S51 allele count,D19S433 allele count,D21S11 allele count,D2S1338 allele count,D3S1358 allele count,D5S818 allele count,D7S820 allele count,D8S1179 allele count,FGA allele count,TH01 allele count,TPOX allele count,vWA allele count,CSF1PO sum allele freq,D13S317 sum allele freq,D16S539 sum allele freq,D18S51 sum allele freq,D19S433 sum allele freq,D21S11 sum allele freq,D2S1338 sum allele freq,D3S1358 sum allele freq,D5S818 sum allele freq,D7S820 sum allele freq,D8S1179 sum allele freq,FGA sum allele freq,TH01 sum allele freq,TPOX sum allele freq,vWA sum allele freq
C42C+C77C,2p,2,3,3,4,4,3,3,2,2,4,3,4,3,1,3,0.5803,0.5055,0.5844,0.5097,0.8434,0.5401,0.2992,0.4834,0.7438,0.6551,0.536,0.5887,0.6579,0.5249,0.3989
C43C+C61C,2p,3,3,3,3,3,4,3,3,3,3,2,4,4,3,3,0.7507,0.7147,0.4778,0.3713,0.6232,0.6731,0.392,0.7216,0.8865,0.5595,0.4972,0.6704,0.8934,0.8269,0.5775
C43C+C94C,2p,3,3,4,4,3,3,2,2,2,3,2,2,4,3,2,0.8892,0.4931,0.6412,0.4225,0.4182,0.2106,0.3421,0.4487,0.7438,0.5595,0.4958,0.3311,0.7951,0.4294,0.4847
C44C+C69C,2p,3,3,3,3,4,3,3,3,3,3,4,4,2,3,2,0.7507,0.7105,0.5041,0.3616,0.5775,0.5318,0.4114,0.5305,0.8865,0.6288,0.615,0.6704,0.5804,0.8269,0.295
C44C+C94C,2p,4,4,3,3,4,3,4,2,2,4,4,3,3,2,3,0.9709,0.6094,0.7922,0.2881,0.8088,0.464,0.5679,0.3892,0.7438,0.6759,0.7673,0.4654,0.676,0.3795,0.6869
C45C+C81C,2p,2,2,2,3,4,3,4,3,4,3,4,3,4,2,2,0.5803,0.446,0.4778,0.3989,0.637,0.4681,0.4433,0.7216,0.9419,0.4889,0.6773,0.4626,0.8934,0.6523,0.3767
C47C+C59C,2p,3,3,2,3,3,2,2,3,2,2,4,3,3,3,2,0.8892,0.7105,0.6288,0.2715,0.5249,0.3725,0.277,0.7216,0.4114,0.3643,0.7659,0.4626,0.4502,0.8186,0.4847
C48C+C70C,2p,3,2,2,3,2,3,3,2,3,3,2,3,3,1,4,0.6108,0.5942,0.3712,0.338,0.6163,0.3906,0.3504,0.5111,0.7507,0.4709,0.4958,0.302,0.5485,0.2521,0.7908
C51C+C56C,2p,3,2,2,3,3,2,3,2,2,3,2,4,3,2,3,0.7507,0.385,0.4778,0.302,0.6523,0.2922,0.338,0.4487,0.5305,0.6052,0.4958,0.4875,0.7743,0.777,0.41
C51C+C80C,2p,2,2,2,3,3,3,3,3,2,2,3,3,2,2,2,0.4418,0.3892,0.4778,0.3961,0.6523,0.5747,0.2604,0.7216,0.5305,0.4612,0.6634,0.3006,0.5804,0.3795,0.3075
